"","V1","V2","V3"
"1",10000,9,21
"2",10000,10,22
"3",10000,9,19
"4",10000,9,19
"5",10000,9,20
"6",10000,9,22
"7",10000,10,19
"8",10000,9,18
"9",10000,9,19
"10",10000,9,20
"11",50000,10,20
"12",50000,9,20
"13",50000,10,21
"14",50000,10,22
"15",50000,9,21
"16",50000,9,20
"17",50000,9,20
"18",50000,10,21
"19",50000,9,23
"20",50000,9,21
"21",1e+05,10,21
"22",1e+05,10,20
"23",1e+05,10,21
"24",1e+05,9,21
"25",1e+05,10,22
"26",1e+05,9,21
"27",1e+05,10,20
"28",1e+05,9,19
"29",1e+05,10,21
"30",1e+05,9,23
"31",2e+05,10,21
"32",2e+05,10,21
"33",2e+05,10,22
"34",2e+05,9,21
"35",2e+05,10,22
"36",2e+05,10,22
"37",2e+05,9,21
"38",2e+05,10,21
"39",2e+05,10,21
"40",2e+05,10,21
"41",5e+05,10,21
"42",5e+05,11,21
"43",5e+05,10,22
"44",5e+05,10,22
"45",5e+05,10,22
"46",5e+05,10,24
"47",5e+05,10,23
"48",5e+05,10,23
"49",5e+05,9,22
"50",5e+05,10,23
