"","V1","V2","V3"
"1",10000,46,71
"2",10000,45,73
"3",10000,44,77
"4",10000,44,75
"5",10000,46,75
"6",10000,46,74
"7",10000,45,76
"8",10000,45,73
"9",10000,46,74
"10",10000,44,73
"11",50000,47,84
"12",50000,45,79
"13",50000,46,81
"14",50000,46,80
"15",50000,47,76
"16",50000,46,77
"17",50000,46,78
"18",50000,47,77
"19",50000,46,77
"20",50000,45,79
"21",1e+05,45,83
"22",1e+05,46,77
"23",1e+05,47,81
"24",1e+05,47,79
"25",1e+05,47,81
"26",1e+05,46,81
"27",1e+05,47,79
"28",1e+05,46,79
"29",1e+05,46,83
"30",1e+05,46,78
"31",2e+05,48,80
"32",2e+05,49,82
"33",2e+05,47,82
"34",2e+05,46,79
"35",2e+05,46,79
"36",2e+05,48,83
"37",2e+05,46,79
"38",2e+05,46,81
"39",2e+05,46,84
"40",2e+05,48,82
"41",5e+05,47,90
"42",5e+05,47,82
"43",5e+05,48,80
"44",5e+05,47,82
"45",5e+05,47,82
"46",5e+05,47,83
"47",5e+05,47,81
"48",5e+05,47,87
"49",5e+05,47,82
"50",5e+05,47,85
