"","V1","V2","V3"
"1",50000,12,27
"2",50000,12,24
"3",50000,12,26
"4",50000,12,26
"5",50000,12,27
"6",50000,12,26
"7",50000,12,24
"8",50000,12,24
"9",50000,12,23
"10",50000,12,29
"11",50000,12,24
"12",50000,12,27
"13",50000,12,25
"14",50000,12,23
"15",50000,12,26
"16",50000,12,25
"17",50000,12,24
"18",50000,12,25
"19",50000,12,25
"20",50000,11,24
"21",50000,12,25
"22",50000,12,24
"23",50000,12,24
"24",50000,12,24
"25",50000,12,24
"26",50000,12,25
"27",50000,12,27
"28",50000,12,25
"29",50000,12,26
"30",50000,12,24
"31",50000,12,26
"32",50000,12,25
"33",50000,12,24
"34",50000,12,25
"35",50000,12,26
"36",50000,12,24
"37",50000,12,27
"38",50000,12,26
"39",50000,12,24
"40",50000,12,26
"41",50000,12,26
"42",50000,12,25
"43",50000,12,25
"44",50000,12,26
"45",50000,12,24
"46",50000,12,24
"47",50000,12,27
"48",50000,12,24
"49",50000,12,25
"50",50000,12,25
"51",50000,12,25
"52",50000,12,26
"53",50000,12,24
"54",50000,12,23
"55",50000,12,27
"56",50000,12,24
"57",50000,12,24
"58",50000,12,25
"59",50000,12,25
"60",50000,12,24
"61",50000,12,26
"62",50000,12,24
"63",50000,12,25
"64",50000,12,25
"65",50000,12,27
"66",50000,12,24
"67",50000,12,25
"68",50000,12,26
"69",50000,12,25
"70",50000,12,27
"71",50000,12,25
"72",50000,12,25
"73",50000,12,25
"74",50000,12,24
"75",50000,12,24
"76",50000,12,26
"77",50000,12,25
"78",50000,12,24
"79",50000,12,28
"80",50000,12,26
"81",50000,12,24
"82",50000,12,24
"83",50000,12,24
"84",50000,12,31
"85",50000,12,25
"86",50000,12,24
"87",50000,12,29
"88",50000,12,28
"89",50000,12,24
"90",50000,12,24
"91",50000,12,25
"92",50000,12,27
"93",50000,12,25
"94",50000,12,25
"95",50000,12,25
"96",50000,12,25
"97",50000,12,26
"98",50000,12,25
"99",50000,12,24
"100",50000,12,24
