"","V1","V2","V3"
"1",50000,10,21
"2",50000,9,21
"3",50000,10,21
"4",50000,9,20
"5",50000,10,19
"6",50000,10,22
"7",50000,10,20
"8",50000,9,21
"9",50000,9,21
"10",50000,10,20
"11",50000,9,20
"12",50000,9,21
"13",50000,10,20
"14",50000,9,20
"15",50000,10,20
"16",50000,9,20
"17",50000,10,21
"18",50000,10,20
"19",50000,9,22
"20",50000,9,20
"21",50000,9,19
"22",50000,9,21
"23",50000,9,20
"24",50000,9,22
"25",50000,9,20
"26",50000,9,21
"27",50000,9,19
"28",50000,9,19
"29",50000,9,20
"30",50000,9,20
"31",50000,9,21
"32",50000,10,21
"33",50000,9,21
"34",50000,10,20
"35",50000,10,20
"36",50000,9,21
"37",50000,9,19
"38",50000,9,23
"39",50000,9,20
"40",50000,9,20
"41",50000,10,21
"42",50000,10,23
"43",50000,9,23
"44",50000,10,20
"45",50000,9,20
"46",50000,9,20
"47",50000,10,20
"48",50000,9,21
"49",50000,9,20
"50",50000,9,22
"51",50000,9,20
"52",50000,9,20
"53",50000,9,20
"54",50000,9,20
"55",50000,10,21
"56",50000,9,20
"57",50000,9,20
"58",50000,9,21
"59",50000,9,21
"60",50000,9,22
"61",50000,10,20
"62",50000,9,20
"63",50000,9,20
"64",50000,9,20
"65",50000,9,20
"66",50000,9,20
"67",50000,9,22
"68",50000,10,20
"69",50000,9,20
"70",50000,9,21
"71",50000,9,21
"72",50000,9,19
"73",50000,9,20
"74",50000,10,22
"75",50000,10,22
"76",50000,9,20
"77",50000,9,20
"78",50000,10,20
"79",50000,10,21
"80",50000,9,21
"81",50000,9,20
"82",50000,9,20
"83",50000,10,21
"84",50000,9,21
"85",50000,9,21
"86",50000,9,21
"87",50000,9,21
"88",50000,10,20
"89",50000,10,20
"90",50000,10,20
"91",50000,10,20
"92",50000,9,19
"93",50000,9,21
"94",50000,9,19
"95",50000,10,22
"96",50000,10,21
"97",50000,9,19
"98",50000,9,20
"99",50000,9,21
"100",50000,9,20
