"","V1","V2","V3"
"1",10000,12,22
"2",10000,11,22
"3",10000,12,24
"4",10000,11,23
"5",10000,12,25
"6",10000,11,24
"7",10000,12,23
"8",10000,13,25
"9",10000,11,25
"10",10000,12,25
"11",50000,12,25
"12",50000,12,24
"13",50000,12,24
"14",50000,12,25
"15",50000,12,24
"16",50000,13,24
"17",50000,12,26
"18",50000,12,25
"19",50000,12,24
"20",50000,12,24
"21",1e+05,12,26
"22",1e+05,12,25
"23",1e+05,12,24
"24",1e+05,12,24
"25",1e+05,12,25
"26",1e+05,12,26
"27",1e+05,12,25
"28",1e+05,12,25
"29",1e+05,12,26
"30",1e+05,12,25
